query,EDUC,SEX,RACE,avg_inctot
avg INCTOT (overall),ALL,ALL,ALL,30442.0
"avg INCTOT | (EDUC, RACE)",2,,100,8634.920634920634
"avg INCTOT | (EDUC, RACE)",2,,200,10000.0
"avg INCTOT | (EDUC, RACE)",2,,651,10000.0
"avg INCTOT | (EDUC, RACE)",10,,100,15126.190476190477
"avg INCTOT | (EDUC, RACE)",10,,200,2000.0
"avg INCTOT | (EDUC, RACE)",10,,300,5000.0
"avg INCTOT | (EDUC, RACE)",10,,651,11666.666666666666
"avg INCTOT | (EDUC, RACE)",10,,652,30000.0
"avg INCTOT | (EDUC, RACE)",10,,805,10000.0
"avg INCTOT | (EDUC, RACE)",20,,100,7816.326157502628
"avg INCTOT | (EDUC, RACE)",20,,200,11428.57142857143
"avg INCTOT | (EDUC, RACE)",20,,300,20000.0
"avg INCTOT | (EDUC, RACE)",20,,651,11428.57142857143
"avg INCTOT | (EDUC, RACE)",20,,801,10000.0
"avg INCTOT | (EDUC, RACE)",30,,100,7887.095078834209
"avg INCTOT | (EDUC, RACE)",30,,200,3280.42328042328
"avg INCTOT | (EDUC, RACE)",30,,300,7500.0
"avg INCTOT | (EDUC, RACE)",30,,651,6833.333333333334
"avg INCTOT | (EDUC, RACE)",30,,652,20000.0
"avg INCTOT | (EDUC, RACE)",30,,801,25000.0
"avg INCTOT | (EDUC, RACE)",30,,802,30000.0
"avg INCTOT | (EDUC, RACE)",40,,100,7015.62442047366
"avg INCTOT | (EDUC, RACE)",40,,200,2098.765432098766
"avg INCTOT | (EDUC, RACE)",40,,300,2000.0
"avg INCTOT | (EDUC, RACE)",40,,651,3750.0
"avg INCTOT | (EDUC, RACE)",40,,652,0.0
"avg INCTOT | (EDUC, RACE)",40,,801,0.0
"avg INCTOT | (EDUC, RACE)",40,,802,12500.0
"avg INCTOT | (EDUC, RACE)",40,,803,0.0
"avg INCTOT | (EDUC, RACE)",40,,809,0.0
"avg INCTOT | (EDUC, RACE)",50,,100,8709.34065934066
"avg INCTOT | (EDUC, RACE)",50,,200,6702.380952380952
"avg INCTOT | (EDUC, RACE)",50,,300,21250.0
"avg INCTOT | (EDUC, RACE)",50,,651,19166.666666666668
"avg INCTOT | (EDUC, RACE)",50,,801,5000.0
"avg INCTOT | (EDUC, RACE)",50,,802,0.0
"avg INCTOT | (EDUC, RACE)",50,,803,0.0
"avg INCTOT | (EDUC, RACE)",60,,100,9011.119898619898
"avg INCTOT | (EDUC, RACE)",60,,200,4809.52380952381
"avg INCTOT | (EDUC, RACE)",60,,300,7833.333333333333
"avg INCTOT | (EDUC, RACE)",60,,651,10476.190476190477
"avg INCTOT | (EDUC, RACE)",60,,652,10000.0
"avg INCTOT | (EDUC, RACE)",60,,801,10000.0
"avg INCTOT | (EDUC, RACE)",60,,802,8750.0
"avg INCTOT | (EDUC, RACE)",60,,803,0.0
"avg INCTOT | (EDUC, RACE)",60,,805,0.0
"avg INCTOT | (EDUC, RACE)",71,,100,11174.258109040718
"avg INCTOT | (EDUC, RACE)",71,,200,8633.333333333332
"avg INCTOT | (EDUC, RACE)",71,,300,12000.0
"avg INCTOT | (EDUC, RACE)",71,,651,15833.333333333334
"avg INCTOT | (EDUC, RACE)",71,,652,0.0
"avg INCTOT | (EDUC, RACE)",71,,802,10000.0
"avg INCTOT | (EDUC, RACE)",71,,803,20000.0
"avg INCTOT | (EDUC, RACE)",73,,100,24615.55122058456
"avg INCTOT | (EDUC, RACE)",73,,200,16805.292175624658
"avg INCTOT | (EDUC, RACE)",73,,300,21788.492063492064
"avg INCTOT | (EDUC, RACE)",73,,651,18479.015721120984
"avg INCTOT | (EDUC, RACE)",73,,652,29481.481481481478
