metric,mean,min,max
ProxyMutualInformationTVD,0.014960000000000001,0.013,0.017
ProxyRepairMaxSat,882.0251724342521,710.3894643315662,1094.9870492561636
TupleContribution,0.1723047265522588,0.15912224017461343,0.19689590203869
median_all,0.0,0.0,0.0
median_group_min,0.0,0.0,0.0
median_group_max,0.0,0.0,0.0
WSD_median,0.0,0.0,0.0
p90_all,1.0,1.0,1.0
p90_group_min,0.9,0.0,1.0
p90_group_max,1.0,1.0,1.0
tail_ratio_p90_over_median,1000000000000.0,1000000000000.0,1000000000000.0
WSD_p90,0.1,0.0,1.0
beta_all_income~covar,0.8368093714568128,0.8214211040229968,0.8576948270282153
beta_group_min,0.5288106867661944,0.4997882474812507,0.5778371785518875
beta_group_max,0.9475250863212261,0.9150187952405726,0.9876468283213565
WSD_beta,0.3079986846906186,0.25081977687612456,0.34891396660868
beta_sign_flip_rate,0.0,0.0,0.0
